# set	level	rarity	itemId	name
# Generated from the in-game skill guides via ::dumpui sweep, then
# reviewed per skill. Sorted by set then level. Regenerate, do not edit.
AGILITY	1	COMMON	11849	Draynor Village Rooftop Course
AGILITY	1	COMMON	2150	Gnome Stronghold Agility Course
AGILITY	1	COMMON	751	Gnomeball game
AGILITY	1	COMMON	2996	Low-level Agility Arena obstacles
AGILITY	1	COMMON	13359	Shayzien Basic Course
AGILITY	5	COMMON	6517	Falador low wall climb
AGILITY	8	COMMON	6515	Cross the River Lum to Al Kharid
AGILITY	10	COMMON	6514	Corsair Cove shortcut
AGILITY	10	COMMON	6518	Rope-swing to Moss Giant Island
AGILITY	11	COMMON	6517	Scale Falador wall
AGILITY	12	COMMON	6518	Stepping stones in Karamja Dungeon
AGILITY	13	COMMON	6514	Jump fence south of Varrock
AGILITY	14	COMMON	6515	Scale Goblin village wall
AGILITY	15	COMMON	6514	Corsair Cove Dungeon shortcut
AGILITY	15	COMMON	31135	Monkey bars under Edgeville
AGILITY	16	COMMON	6516	Yanille Agility shortcut
AGILITY	17	COMMON	6516	Kourend Catacombs Agility shortcut
AGILITY	18	COMMON	6514	Slayer Tower Banshee shortcut
AGILITY	20	UNCOMMON	11849	Al Kharid Rooftop Course
AGILITY	20	UNCOMMON	6515	Coal Truck log balance
AGILITY	21	UNCOMMON	6516	Grand Exchange Agility shortcut
AGILITY	21	UNCOMMON	6517	Karamja crossing south of volcano
AGILITY	21	UNCOMMON	6517	Scale Yanille wall
AGILITY	22	UNCOMMON	6517	Escape from the Water Obelisk island
AGILITY	23	UNCOMMON	6517	Scale the Observatory cliff
AGILITY	24	UNCOMMON	6516	Nemus Retreat wall climbs
AGILITY	25	UNCOMMON	6514	Burgh de Rott fence
AGILITY	25	UNCOMMON	6517	Eagles' Peak Agility shortcut
AGILITY	25	UNCOMMON	964	Werewolf Skullball game
AGILITY	26	UNCOMMON	6516	Falador Agility shortcut
AGILITY	28	UNCOMMON	6515	Kourend Catacombs pillar jump shortcut
AGILITY	29	UNCOMMON	6517	Mount Karuulm lower cliffside climb
AGILITY	30	UNCOMMON	6970	Agility Pyramid
AGILITY	30	UNCOMMON	6517	Corsair Cove Resource Area shortcut
AGILITY	30	UNCOMMON	10595	Penguin Agility Course
AGILITY	30	UNCOMMON	6518	Stepping stones in south-eastern Karamja
AGILITY	30	UNCOMMON	11849	Varrock Rooftop Course
AGILITY	31	UNCOMMON	6515	Draynor Manor stones to Champions' Guild
AGILITY	32	UNCOMMON	6517	Scale the Catherby cliff
AGILITY	32	UNCOMMON	6514	Shilo Village river crossing
AGILITY	33	UNCOMMON	6515	Ardougne log balance shortcut
AGILITY	33	UNCOMMON	6516	Nemus Retreat underground tunnel
AGILITY	34	UNCOMMON	6516	Kourend Catacombs contortion shortcut
AGILITY	34	UNCOMMON	6520	Pipe squeeze in Karamja Dungeon
AGILITY	35	UNCOMMON	1365	Barbarian Outpost Agility Course
AGILITY	35	UNCOMMON	6517	Varrock Palace Garden trellis shortcut
AGILITY	36	UNCOMMON	6514	Nemus Retreat stepping stones
AGILITY	37	UNCOMMON	6517	Gnome Stronghold shortcut
AGILITY	38	UNCOMMON	6517	Al Kharid Mining pit cliffside scramble
AGILITY	40	RARE	11849	Canifis Rooftop Course
AGILITY	40	RARE	6514	Hosidius lake isle jump
AGILITY	40	RARE	6515	Tlati Rainforest log balance
AGILITY	41	RARE	6517	Auburnvale rock scramble
AGILITY	41	RARE	6517	Trollheim easy cliffside scramble
AGILITY	42	RARE	6516	Draynor narrow tunnel
AGILITY	42	RARE	6516	Dwarven Mine narrow crevice
AGILITY	42	RARE	6517	Trollheim medium cliffside scramble
AGILITY	43	RARE	6514	Fremennik Slayer Dungeon spiked blades jump
AGILITY	43	RARE	6517	Tlati Rainforest cliffside scramble
AGILITY	44	RARE	6517	Trollheim advanced cliffside scramble
AGILITY	45	RARE	6515	Auburn Valley log balances
AGILITY	45	RARE	6519	Elf area log balance
AGILITY	45	RARE	6514	Hosidius river jump
AGILITY	45	RARE	6517	Proudspire lower scramble
AGILITY	45	RARE	13379	Shayzien Advanced Course
AGILITY	46	RARE	6516	Cosmic Temple - medium narrow walkway
AGILITY	46	RARE	6516	Deep Wilderness - narrow tunnel
AGILITY	46	RARE	6515	Tonali Cavern shortcuts
AGILITY	47	RARE	6517	Ralos' Rise rock climb
AGILITY	47	RARE	6517	Trollheim hard cliffside scramble
AGILITY	48	RARE	4024	Ape Atoll Agility Course
AGILITY	48	RARE	6515	Log balance to Fremennik Province
AGILITY	49	RARE	6514	Arceuus essence mine boulder leap
AGILITY	49	RARE	6520	Contortion in Yanille Dungeon small room
AGILITY	50	RARE	30038	Colossal Wyrm Basic Course
AGILITY	50	RARE	23983	Crystal bows
AGILITY	50	RARE	11849	Falador Rooftop Course
AGILITY	50	RARE	6514	Stepping stone into Morytania near the Nature Grotto
AGILITY	50	RARE	6517	Summer Shore rock scramble
AGILITY	51	RARE	6516	Pipe from Edgeville dungeon to Varrock Sewers
AGILITY	52	RARE	6514	Anglers' Retreat stepping stone
AGILITY	52	RARE	6517	Arceuus essence mine eastern scramble
AGILITY	52	RARE	6517	Great Conch eastern plateau rock scramble (south-west side)
AGILITY	52	RARE	24717	Hallowed Sepulchre (Floor 1)
AGILITY	52	RARE	964	Wilderness Course
AGILITY	54	RARE	6516	Motherlode Mine dark tunnel
AGILITY	54	RARE	6517	Western Aldarin cliff scramble
AGILITY	54	RARE	6517	Wyrmscraig Cathedral cliffside scramble
AGILITY	55	RARE	6517	Cape Conch rock scramble
AGILITY	55	RARE	6514	Stepping stone by Miscellania docks
AGILITY	56	RARE	6514	Brimhaven Dungeon eastern stepping stones
AGILITY	56	RARE	6517	Rock climb in the Temple of the Eye
AGILITY	57	RARE	6517	Great Conch eastern plateau rock scramble (north-east side)
AGILITY	57	RARE	31135	Monkey bars under Yanille
AGILITY	57	RARE	6517	Rellekka east fence shortcut
AGILITY	58	RARE	6517	Port Phasmatys ectopool shortcut
AGILITY	58	RARE	6514	Stepping stone in the north of Wyrmscraig
AGILITY	59	RARE	6517	Elven overpass easy cliffside scramble
